158023,L. Messi,31,170.18,72.1,94,86,86,95,70,92,89,86,97,93,94,96,91,86,95,72,66,75,22,28,26,6,11,8
190460,C. Eriksen,27,154.94,76.2,88,83,88,81,52,91,89,80,84,86,87,91,76,73,81,92,58,67,56,57,22,9,14,6
195864,P. Pogba,25,190.5,83.9,88,82,80,75,75,86,90,85,87,85,82,90,71,79,66,88,87,82,64,67,67,5,6,3
198219,L. Insigne,27,162.56,59,88,82,86,77,56,85,78,74,90,87,77,93,94,86,93,75,44,61,26,24,22,8,4,10
201024,K. Koulibaly,27,187.96,88.9,88,82,30,22,83,68,60,14,69,28,28,63,70,75,40,75,94,33,88,88,87,7,11,5
203376,V. van Dijk,27,193.04,92.1,88,83,53,52,83,79,81,45,70,60,70,76,74,77,49,75,92,62,88,89,84,13,10,11
231747,K. Mbappé,20,152.4,73,88,84,77,88,77,82,73,78,90,77,63,91,96,96,83,83,71,70,38,34,32,13,5,6
153079,S. Agüero,30,172.72,69.9,89,85,70,93,77,81,64,85,89,82,73,89,88,80,91,76,73,83,24,20,12,13,15,14
167495,M. Neuer,32,193.04,92.1,89,85,15,13,25,55,59,11,30,14,11,46,54,60,35,43,80,47,30,10,11,90,86,87
179813,E. Cavani,32,185.42,77.1,89,84,70,89,89,78,52,90,80,77,76,82,75,76,59,92,78,85,48,45,39,12,5,10
189511,Sergio Busquets,30,187.96,76.2,89,86,62,67,68,89,82,44,80,66,68,88,50,52,52,86,77,60,87,86,80,5,8,13
192119,T. Courtois,26,198.12,96.2,89,86,14,14,13,33,35,12,13,19,20,23,46,52,45,38,70,27,15,18,16,85,91,88
192448,M. ter Stegen,26,187.96,84.8,89,86,18,14,11,42,47,14,17,18,12,18,38,50,43,35,78,25,22,13,10,87,85,90
194765,A. Griezmann,27,175.26,73,89,84,82,89,84,84,78,87,87,86,84,90,88,85,82,86,62,83,49,54,48,14,8,14
209331,M. Salah,26,175.26,71.2,89,83,78,90,59,83,74,76,89,83,60,88,94,91,88,84,70,75,55,43,41,14,14,14
211110,P. Dybala,25,152.4,74.8,89,85,82,84,68,87,75,88,92,88,88,92,87,83,85,80,65,86,32,20,20,5,4,8
232363,M. Škriniar,24,187.96,79.8,86,82,40,42,82,73,69,40,59,34,30,67,70,73,51,77,85,56,86,89,84,10,13,12
135507,Fernandinho,33,152.4,67.1,87,85,68,69,66,85,83,74,77,70,72,82,68,67,78,84,76,61,89,86,80,12,11,7
167664,G. Higuaín,31,185.42,88.9,87,83,68,91,79,74,59,88,83,74,62,84,70,72,69,70,85,70,20,22,18,5,12,10
168651,I. Rakitić,30,182.88,78,87,86,84,79,59,87,90,84,82,88,82,85,66,62,66,83,71,82,81,75,73,14,11,9
172871,J. Vertonghen,31,187.96,86.2,87,83,72,56,80,79,74,52,71,63,73,77,61,65,60,75,79,66,89,87,88,6,10,7
175943,D. Mertens,31,170.18,60.8,87,82,77,86,35,82,74,70,91,82,79,89,93,85,92,75,42,79,36,40,40,7,10,4
